epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1363,1.08528,2.0969,1.33085,0.05063,0.05405,0.00898,0.00198,2.86718,6.37016,2.92885,0.000663317,0.000663317,0.000663317
2,147.092,1.24626,1.72832,1.43855,0.00346,0.21622,0.00235,0.00061,3.10198,15.1333,3.45225,0.00130365,0.00130365,0.00130365
3,226.821,1.24019,1.70483,1.43967,0.1012,0.08108,0.02506,0.00828,3.14634,4.42617,3.20456,0.00191758,0.00191758,0.00191758
4,332.172,1.17577,1.57624,1.37187,0.11942,0.08108,0.02206,0.00727,2.92339,4.90489,3.13505,0.0018812,0.0018812,0.0018812
5,405.751,1.15236,1.54516,1.36435,0.00838,0.08108,0.0054,0.0016,3.03343,4.31441,3.34675,0.0018416,0.0018416,0.0018416
6,478.896,1.11818,1.44873,1.33845,0.03645,0.05405,0.00816,0.00338,2.74593,4.29322,2.79838,0.001802,0.001802,0.001802
7,552.988,1.06711,1.36232,1.31566,0.08474,0.18919,0.03526,0.00907,2.72753,4.15483,3.04616,0.0017624,0.0017624,0.0017624
8,627.373,1.024,1.29591,1.28456,0.06056,0.05405,0.01141,0.0051,3.30292,4.63881,3.50177,0.0017228,0.0017228,0.0017228
9,700.342,1.01781,1.29964,1.30212,0.02977,0.05405,0.0067,0.00304,2.94937,4.51798,3.13195,0.0016832,0.0016832,0.0016832
10,782.597,0.98961,1.25692,1.2658,0.06016,0.10811,0.01721,0.00472,2.84826,4.24995,2.88174,0.0016436,0.0016436,0.0016436
11,859.528,1.00998,1.26421,1.27113,0.11575,0.08108,0.0208,0.00355,2.81157,4.21788,3.08233,0.001604,0.001604,0.001604
12,964.983,0.98043,1.20372,1.25202,0.019,0.02703,0.01219,0.00354,2.68115,3.92733,2.79136,0.0015644,0.0015644,0.0015644
13,1056.67,0.93029,1.10118,1.22596,0.04399,0.10811,0.01722,0.00407,3.09087,4.17474,3.28291,0.0015248,0.0015248,0.0015248
14,1129.16,0.9401,1.1285,1.22629,0.08857,0.10811,0.04122,0.0103,2.95335,3.82381,3.24424,0.0014852,0.0014852,0.0014852
15,1201.98,0.92933,1.08961,1.21542,0.0551,0.05405,0.03188,0.01236,2.81327,3.80296,3.05255,0.0014456,0.0014456,0.0014456
16,1275.8,0.91773,1.04606,1.21056,0.06225,0.10811,0.02359,0.00713,2.86721,3.71333,3.31941,0.001406,0.001406,0.001406
17,1350.6,0.87758,1.00078,1.18129,0.0819,0.08108,0.03577,0.01019,2.62806,3.84627,2.95978,0.0013664,0.0013664,0.0013664
18,1426.06,0.87056,1.01011,1.17271,0.08012,0.08108,0.02678,0.01091,2.91989,4.09404,3.28155,0.0013268,0.0013268,0.0013268
19,1500.88,0.85711,0.97143,1.18041,0.12241,0.18919,0.05142,0.01549,2.75718,3.3796,3.08245,0.0012872,0.0012872,0.0012872
20,1575.74,0.86576,0.94334,1.1698,0.07601,0.02703,0.0165,0.00532,2.86452,3.9416,3.25926,0.0012476,0.0012476,0.0012476
21,1649.58,0.85576,0.98665,1.17943,0.15119,0.18919,0.06138,0.01925,2.7998,3.65487,3.22372,0.001208,0.001208,0.001208
22,1724.19,0.8457,0.9454,1.16517,0.14626,0.21622,0.05272,0.01204,2.93474,3.56597,3.34216,0.0011684,0.0011684,0.0011684
23,1798.78,0.81994,0.92652,1.16246,0.2105,0.13514,0.05408,0.01278,3.00095,3.82,3.44941,0.0011288,0.0011288,0.0011288
24,1873.47,0.81184,0.92664,1.16144,0.12328,0.08108,0.04121,0.01261,2.68183,3.98164,3.17239,0.0010892,0.0010892,0.0010892
25,1948.66,0.80339,0.87544,1.14039,0.12822,0.24324,0.06804,0.02241,2.76417,3.50763,3.08073,0.0010496,0.0010496,0.0010496
26,2023.31,0.80117,0.90228,1.14916,0.08052,0.10811,0.03181,0.00683,2.97924,3.80844,3.36484,0.00101,0.00101,0.00101
27,2098.41,0.81423,0.89173,1.14846,0.16363,0.13514,0.05989,0.01572,2.68613,3.47429,3.02031,0.0009704,0.0009704,0.0009704
28,2174.21,0.80158,0.85986,1.13982,0.09487,0.18919,0.05317,0.01638,2.71218,3.56882,3.16101,0.0009308,0.0009308,0.0009308
29,2247.69,0.79463,0.85523,1.13543,0.03218,0.02703,0.03291,0.00975,2.68793,3.75769,2.96193,0.0008912,0.0008912,0.0008912
30,2320.18,0.76948,0.81974,1.11912,0.0626,0.08108,0.04515,0.00997,2.58113,4.01826,2.95972,0.0008516,0.0008516,0.0008516
31,2392.76,0.75477,0.81636,1.11096,0.16689,0.08108,0.0626,0.01448,2.49482,3.95569,2.93035,0.000812,0.000812,0.000812
32,2465.35,0.71878,0.75844,1.09189,0.14528,0.10811,0.04913,0.01016,2.64856,3.71561,3.18284,0.0007724,0.0007724,0.0007724
33,2537.88,0.72623,0.78053,1.11008,0.24659,0.13514,0.07935,0.01708,2.69885,3.50965,3.00667,0.0007328,0.0007328,0.0007328
34,2610.65,0.72858,0.76359,1.09961,0.15991,0.10811,0.07482,0.02516,2.83437,3.48857,3.21519,0.0006932,0.0006932,0.0006932
35,2683.78,0.69644,0.71567,1.08695,0.13404,0.13514,0.05926,0.01861,2.73473,3.79749,3.12896,0.0006536,0.0006536,0.0006536
36,2756.1,0.73816,0.77409,1.11164,0.15536,0.13514,0.04529,0.0117,2.8514,3.86333,3.4058,0.000614,0.000614,0.000614
37,2828.94,0.68673,0.70456,1.06597,0.02104,0.51351,0.03941,0.00943,2.65409,3.96012,3.2169,0.0005744,0.0005744,0.0005744
38,2902.22,0.69318,0.72733,1.0771,0.13584,0.10811,0.05452,0.01535,2.73985,3.68838,3.22628,0.0005348,0.0005348,0.0005348
39,2974.52,0.69379,0.71134,1.07502,0.07482,0.08108,0.05097,0.0162,2.66354,3.67944,3.0307,0.0004952,0.0004952,0.0004952
40,3046.84,0.66448,0.66073,1.05885,0.11838,0.08108,0.05168,0.01893,2.69101,3.74755,3.26881,0.0004556,0.0004556,0.0004556
41,3120.11,0.63027,0.55537,1.02974,0.12218,0.16216,0.07096,0.0185,2.81587,3.51868,3.16944,0.000416,0.000416,0.000416
42,3193.77,0.61875,0.52919,1.0076,0.14142,0.10256,0.0472,0.01429,2.63529,3.66095,3.00243,0.0003764,0.0003764,0.0003764
43,3268.22,0.60652,0.5021,1.01934,0.20912,0.16216,0.08862,0.02231,2.86147,3.46569,3.25609,0.0003368,0.0003368,0.0003368
44,3342.96,0.60248,0.49335,1.0245,0.2587,0.18919,0.1106,0.02831,2.86254,3.24342,3.13183,0.0002972,0.0002972,0.0002972
45,3415.27,0.59815,0.46336,1.01292,0.2029,0.13514,0.09288,0.01779,2.92299,3.55717,3.31479,0.0002576,0.0002576,0.0002576
46,3487.93,0.57832,0.47737,1.00616,0.32192,0.18919,0.13666,0.032,2.76616,3.58576,3.08096,0.000218,0.000218,0.000218
47,3560.8,0.58213,0.4632,1.00482,0.19238,0.18919,0.08635,0.02074,2.7917,3.60449,2.97144,0.0001784,0.0001784,0.0001784
48,3632.99,0.56436,0.43376,0.99279,0.23696,0.13514,0.08317,0.02283,2.75815,3.46959,2.94723,0.0001388,0.0001388,0.0001388
